Item Name,Specification/Size,Quantity
Tangit,250ml,1 box
Tangit,500ml,1 box
Tangit,250ml,1 box
Tangit,500ml,1 box + 14 pieces
Silicon gp ntc - Henkel clear,N/A,17 pieces
silicon sheng bao,N/A,1 box
Tizo,N/A,1 box
Era 500ml,N/A,1 box
Kk basin tap,N/A,10 pcs
pillar tap linko,N/A,10 pcs
wall tap linko,N/A,10 pcs
pillar self closing,N/A,4 pcs
kingmisa mixer,N/A,3 pcs
Uzuri kitchen tap,N/A,10 pcs
Ena shower,N/A,2 pcs
DLG 243ml,N/A,1 box
DLG silicon,N/A,1 box
Insulating tape small,N/A,20 pcs
Aloe brush tth,N/A,19 pcs
Potoc black,N/A,11 pcs
Potoc white,N/A,8 pcs
potoc clear,N/A,10 pcs
ppr 1/21 cement,N/A,100 pcs
"pvc bond 4""",N/A,40 pcs
Mtd bush,4x3,50 pcs
Mtd bush,4x2,50 pcs
plug,"3""",40 pcs
1 way,N/A,20 pcs
"4"" 45°",N/A,16 pcs
4 way,N/A,15 pcs
Mtd sec 3/4,N/A,50 pcs
"Tee 2""",N/A,50 pcs pvc
"bend 2"" 90°",N/A,15 pcs
Guft clip,N/A,100 pcs
"bend 3""",N/A,25 pcs
"Tee 3""",N/A,10 pcs
tank conn,"1/2""",2 pcs
tank conn,"3/4""",8 pcs
tank conn,"1""",5 pcs
tank conn,"1 1/2""",2 pcs
tank conn,"2""",3 pcs
min valve,300 pcs + 140,440 pcs
conn strip,N/A,200 pcs
Tail off,N/A,200 pcs
end cap,N/A,100 pcs
Mtd bush,N/A,200 pcs
Ppr union,32mm,1 pkt
Pvc h/d coupling,32mm,19 pcs
Tee,3/4 ppr,160 pcs
elbow,1/2 ppr,300 pcs
socket,1/2 ppr,160 pcs
ppr union,20mm,16 pcs
high level ball valve,N/A,16 pcs
Magic 1/2 (white),N/A,10 pcs
Magic 1 1/4 (white),N/A,10 pcs
Magic 1/2 (chrome),N/A,10 pcs
Mtd clip 1/2,N/A,70 pcs
Arabic (toilet),N/A,3 pcs
Bathroom shelf - Uzuri,N/A,2 pcs
Gate valve 1/2,N/A,5 pcs
Ppr tap 1/2,N/A,20 pcs
Soap dish,N/A,4 pcs
Soap holder,N/A,4 pcs
Liquid soap holder - wall mount,N/A,3 pcs
tissue holder (plastic) - open,N/A,5 pcs
Drying rack (dish),N/A,10 pcs
Toothbrush holder (plastic),N/A,5 pcs
tissue holder,N/A,5 pcs (chrome)
tissue holder (gold),N/A,5 pcs
Locks (Golden),N/A,3 pcs
locks (Silver),N/A,2 pcs s.l
bottle trap,N/A,5 pcs plastic
bottle trap,1 1/4,5 pcs s/s
bottle trap,1 1/2,5 pcs s/s
Ang valve,(2 cartons - each 100),200 pcs Henmed
Arldite,4 packets,4 packets
Binding wire,"20""",5 pcs
Aquafix - wall,N/A,1 packet
Magnifier pillar,N/A,2 packets
"Grinding 7"" (pipes)",N/A,5 pcs
Poly disc,N/A,4 pcs
Diamond cutting disc,N/A,5 pcs
"cutting wood 7""",N/A,3 pcs (cali)
"Cutting 9"" (Castiel)",N/A,15 pcs
Cutting disc (rhodius),(S.L),7 pcs
"cutting disc 9"" (S.L)",N/A,8 pcs
Cutting (iron),N/A,5 pcs
Ardalite,N/A,4 pcs
Solder wire,N/A,6 pcs
Pipe cutter (small),N/A,3 pcs
Screw driver (lucas),N/A,5 pcs
Screw driver (big),N/A,2 pcs
Self Screw driver,N/A,8 pcs
2 in one Screw driver,N/A,4 pcs
Solar welding goggles,N/A,4 pcs
Hacksaw,N/A,11 + 3 pcs
chalk line,N/A,5 pcs
spirit level,N/A,5 pcs
pliers,N/A,3 pcs
Trowel,N/A,2 pcs
End clothing,N/A,1 pc
chuck key,N/A,2 pcs
Drill bits set,N/A,2 pcs
"Trowel - 7""",N/A,1 pc
glass cutter,N/A,1 pc
Shovel (flat),N/A,1 pc
"Allen key 2""",N/A,1 pc
jigsaw blades,N/A,4 pcs (set)
drill bits,N/A,2 pcs
Drill bits - 18,N/A,2 pcs
flat bits,N/A,3 pcs
chisel,N/A,2 pcs
Shower rose,N/A,5 pcs
Gypsum screws,N/A,9 pcs
"screws 1""",N/A,3 pcs
"Steel nails 2""",N/A,4 pcs
Neat valve,12mm,4 pcs
Neat valve,10mm,6 pcs
Neat valve,8mm,2 pcs
Neat valve,6mm,2 pcs
Hanks,N/A,3 pcs
Float valve,N/A,3 pcs
Red glue,N/A,33 pcs (pump)
Metal clip 1/2,N/A,200 pcs
Automatic control,N/A,4 pcs
Bpf tap,N/A,2 pcs
Thread seals (big),N/A,5 pcs
Thread seals (small),N/A,2 pkts
"pipe wrench - 18""",N/A,2 pcs (s.p.l)
shackle,N/A,2 pair
drill,N/A,1 pc
Dop caps,N/A,2 pcs
"Hand saw 18""",N/A,2 pcs
"Hand saw 16""",N/A,2 pcs
H/down 20,N/A,2 pcs
Urinal waste,N/A,2 pcs
Super douch foam,N/A,2 pcs
corona,N/A,5 pcs
Shears,N/A,3 pcs
Garden tap - 3/4,N/A,3/4 - 5 pcs
Garden tap - 1/2,N/A,1/2 - 4 pcs
Ppr handle bar - 3/4,N/A,3 pcs
Ppr handle bar - 1/2,N/A,3 pcs
Shoshana,N/A,5 pcs
"Dubi Sinks 1"" ppr",N/A,1 pc
"Pvc Socket 1"" ppr",N/A,1 pc
Reducing pvc,"2"" - 1 1/2""",2 pcs
Mtd mi - 50mm,N/A,1 pc
Mtd mi - 40mm,N/A,1 pc
1/2 in in 50 mtr s,N/A,1 pc
1/2 in in 15 mtr s,N/A,1 pc
1/2 in in 30 mtr s,N/A,1 pc
1/2 in gift,N/A,1 pc
Maders,N/A,4 pcs
Electrode,N/A,1 pc
Pvc glue 1/2L,N/A,5 pcs
Boss white - 400g,N/A,10 pcs
Boss white - 1/4kg,N/A,10 pcs
Ppr Socket 3/4,N/A,54 pcs
Basin mixers,N/A,2 pcs
Wash tap (Chorome),N/A,2 pcs
Adapting Socket,3/4 x 1/2,12 pcs
Reducing Socket,32x25,15 pcs
Suction Top flush,N/A,4 pcs
Pillar tap (plastic),N/A,5 pcs
Pillar tap (waste),N/A,5 pcs
"Socket 1"" ppr",N/A,10 pcs
"Elbow 1"" ppr",N/A,12 pcs
Knit (Mtd),1/2,20 pcs
Nipple 1/2,N/A,15 pcs
Super (Plastic),N/A,2 pcs
Self taping screw,N/A,3 pkts
Locks (door lock),N/A,3 pcs
Shower pipes 1 1/2,N/A,20 pcs
"Shower pipes 1""",N/A,20 pcs
1/2 shower pipes 4ft,N/A,5 pcs
1/2 shower pipes 3ft,N/A,5 pcs
3/4 shower pipes,N/A,4 pcs
Bullcock 3/4 (pvc),N/A,10 pcs
Bullcock 1/2 (pvc),N/A,10 pcs
